date,anorexia,isPartial
2018-04-08,63,False
2018-04-15,66,False
2018-04-22,51,False
2018-04-29,59,False
2018-05-06,67,False
2018-05-13,47,False
2018-05-20,61,False
2018-05-27,31,False
2018-06-03,59,False
2018-06-10,45,False
2018-06-17,48,False
2018-06-24,56,False
2018-07-01,49,False
2018-07-08,52,False
2018-07-15,65,False
2018-07-22,68,False
2018-07-29,41,False
2018-08-05,34,False
2018-08-12,25,False
2018-08-19,47,False
2018-08-26,31,False
2018-09-02,54,False
2018-09-09,51,False
2018-09-16,42,False
2018-09-23,59,False
2018-09-30,41,False
2018-10-07,36,False
2018-10-14,82,False
2018-10-21,82,False
2018-10-28,68,False
2018-11-04,37,False
2018-11-11,46,False
2018-11-18,41,False
2018-11-25,82,False
2018-12-02,95,False
2018-12-09,54,False
2018-12-16,47,False
2018-12-23,21,False
2018-12-30,38,False
2019-01-06,57,False
2019-01-13,48,False
2019-01-20,61,False
2019-01-27,57,False
2019-02-03,40,False
2019-02-10,28,False
2019-02-17,52,False
2019-02-24,55,False
2019-03-03,18,False
2019-03-10,65,False
2019-03-17,59,False
2019-03-24,59,False
2019-03-31,100,False
