date,anorexia,isPartial
2018-04-08,55,False
2018-04-15,51,False
2018-04-22,45,False
2018-04-29,68,False
2018-05-06,50,False
2018-05-13,75,False
2018-05-20,43,False
2018-05-27,69,False
2018-06-03,88,False
2018-06-10,100,False
2018-06-17,53,False
2018-06-24,75,False
2018-07-01,57,False
2018-07-08,51,False
2018-07-15,51,False
2018-07-22,0,False
2018-07-29,50,False
2018-08-05,22,False
2018-08-12,75,False
2018-08-19,26,False
2018-08-26,50,False
2018-09-02,60,False
2018-09-09,49,False
2018-09-16,63,False
2018-09-23,44,False
2018-09-30,51,False
2018-10-07,75,False
2018-10-14,45,False
2018-10-21,68,False
2018-10-28,55,False
2018-11-04,82,False
2018-11-11,18,False
2018-11-18,100,False
2018-11-25,28,False
2018-12-02,80,False
2018-12-09,85,False
2018-12-16,48,False
2018-12-23,16,False
2018-12-30,41,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
