date,anorexia,isPartial
2018-04-08,71,False
2018-04-15,51,False
2018-04-22,73,False
2018-04-29,87,False
2018-05-06,67,False
2018-05-13,75,False
2018-05-20,53,False
2018-05-27,61,False
2018-06-03,46,False
2018-06-10,49,False
2018-06-17,70,False
2018-06-24,62,False
2018-07-01,51,False
2018-07-08,48,False
2018-07-15,63,False
2018-07-22,60,False
2018-07-29,58,False
2018-08-05,36,False
2018-08-12,63,False
2018-08-19,64,False
2018-08-26,42,False
2018-09-02,100,False
2018-09-09,65,False
2018-09-16,61,False
2018-09-23,79,False
2018-09-30,65,False
2018-10-07,60,False
2018-10-14,67,False
2018-10-21,51,False
2018-10-28,70,False
2018-11-04,65,False
2018-11-11,81,False
2018-11-18,65,False
2018-11-25,81,False
2018-12-02,66,False
2018-12-09,67,False
2018-12-16,59,False
2018-12-23,39,False
2018-12-30,30,False
2019-01-06,61,False
2019-01-13,60,False
2019-01-20,54,False
2019-01-27,54,False
2019-02-03,49,False
2019-02-10,68,False
2019-02-17,68,False
2019-02-24,60,False
2019-03-03,51,False
2019-03-10,67,False
2019-03-17,80,False
2019-03-24,55,False
2019-03-31,63,False
