date,Depression,isPartial
2020-04-05,100,False
2020-04-12,99,False
2020-04-19,100,False
2020-04-26,99,False
2020-05-03,95,False
2020-05-10,91,False
2020-05-17,83,False
2020-05-24,75,False
2020-05-31,68,False
2020-06-07,71,False
2020-06-14,72,False
2020-06-21,73,False
2020-06-28,69,False
2020-07-05,72,False
2020-07-12,71,False
2020-07-19,76,False
2020-07-26,74,False
2020-08-02,75,False
2020-08-09,71,False
2020-08-16,81,False
2020-08-23,74,False
2020-08-30,76,False
2020-09-06,81,False
2020-09-13,83,False
2020-09-20,85,False
2020-09-27,79,False
2020-10-04,82,False
2020-10-11,79,False
2020-10-18,84,False
2020-10-25,80,False
2020-11-01,70,False
2020-11-08,86,False
2020-11-15,87,False
2020-11-22,64,False
2020-11-29,85,False
2020-12-06,84,False
2020-12-13,76,False
2020-12-20,62,False
2020-12-27,64,False
2021-01-03,71,False
2021-01-10,73,False
2021-01-17,81,False
2021-01-24,82,False
2021-01-31,81,False
2021-02-07,82,False
2021-02-14,80,False
2021-02-21,81,False
2021-02-28,85,False
2021-03-07,82,False
2021-03-14,77,False
2021-03-21,75,False
2021-03-28,72,False
2021-04-04,77,False
