date,depression,isPartial
2018-04-08,95,False
2018-04-15,87,False
2018-04-22,91,False
2018-04-29,85,False
2018-05-06,85,False
2018-05-13,85,False
2018-05-20,82,False
2018-05-27,77,False
2018-06-03,88,False
2018-06-10,86,False
2018-06-17,76,False
2018-06-24,72,False
2018-07-01,69,False
2018-07-08,73,False
2018-07-15,78,False
2018-07-22,73,False
2018-07-29,75,False
2018-08-05,75,False
2018-08-12,75,False
2018-08-19,72,False
2018-08-26,73,False
2018-09-02,79,False
2018-09-09,83,False
2018-09-16,86,False
2018-09-23,87,False
2018-09-30,85,False
2018-10-07,87,False
2018-10-14,95,False
2018-10-21,90,False
2018-10-28,96,False
2018-11-04,91,False
2018-11-11,96,False
2018-11-18,82,False
2018-11-25,93,False
2018-12-02,94,False
2018-12-09,91,False
2018-12-16,82,False
2018-12-23,67,False
2018-12-30,75,False
2019-01-06,92,False
2019-01-13,92,False
2019-01-20,84,False
2019-01-27,92,False
2019-02-03,96,False
2019-02-10,89,False
2019-02-17,100,False
2019-02-24,90,False
2019-03-03,100,False
2019-03-10,94,False
2019-03-17,98,False
2019-03-24,96,False
2019-03-31,92,False
