date,Bulimia,isPartial
2020-04-05,53,False
2020-04-12,53,False
2020-04-19,65,False
2020-04-26,59,False
2020-05-03,52,False
2020-05-10,49,False
2020-05-17,42,False
2020-05-24,28,False
2020-05-31,25,False
2020-06-07,49,False
2020-06-14,38,False
2020-06-21,43,False
2020-06-28,29,False
2020-07-05,34,False
2020-07-12,51,False
2020-07-19,39,False
2020-07-26,54,False
2020-08-02,38,False
2020-08-09,39,False
2020-08-16,36,False
2020-08-23,30,False
2020-08-30,43,False
2020-09-06,22,False
2020-09-13,35,False
2020-09-20,42,False
2020-09-27,36,False
2020-10-04,51,False
2020-10-11,50,False
2020-10-18,45,False
2020-10-25,64,False
2020-11-01,28,False
2020-11-08,54,False
2020-11-15,100,False
2020-11-22,64,False
2020-11-29,82,False
2020-12-06,58,False
2020-12-13,60,False
2020-12-20,36,False
2020-12-27,60,False
2021-01-03,51,False
2021-01-10,32,False
2021-01-17,35,False
2021-01-24,54,False
2021-01-31,36,False
2021-02-07,40,False
2021-02-14,45,False
2021-02-21,52,False
2021-02-28,45,False
2021-03-07,45,False
2021-03-14,62,False
2021-03-21,45,False
2021-03-28,32,False
2021-04-04,39,False
