date,Covid 19,isPartial
2020-04-05,100,False
2020-04-12,81,False
2020-04-19,69,False
2020-04-26,56,False
2020-05-03,53,False
2020-05-10,49,False
2020-05-17,43,False
2020-05-24,37,False
2020-05-31,28,False
2020-06-07,30,False
2020-06-14,27,False
2020-06-21,32,False
2020-06-28,38,False
2020-07-05,39,False
2020-07-12,33,False
2020-07-19,27,False
2020-07-26,27,False
2020-08-02,25,False
2020-08-09,21,False
2020-08-16,20,False
2020-08-23,18,False
2020-08-30,18,False
2020-09-06,17,False
2020-09-13,16,False
2020-09-20,15,False
2020-09-27,17,False
2020-10-04,18,False
2020-10-11,17,False
2020-10-18,17,False
2020-10-25,20,False
2020-11-01,16,False
2020-11-08,24,False
2020-11-15,27,False
2020-11-22,23,False
2020-11-29,22,False
2020-12-06,23,False
2020-12-13,20,False
2020-12-20,19,False
2020-12-27,22,False
2021-01-03,22,False
2021-01-10,24,False
2021-01-17,22,False
2021-01-24,21,False
2021-01-31,17,False
2021-02-07,17,False
2021-02-14,15,False
2021-02-21,16,False
2021-02-28,18,False
2021-03-07,18,False
2021-03-14,16,False
2021-03-21,16,False
2021-03-28,17,False
2021-04-04,16,False
