date,Anxiety,isPartial
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,93,False
2020-04-26,86,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,79,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,85,False
2020-06-21,0,False
2020-06-28,89,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,0,False
2020-07-26,92,False
2020-08-02,0,False
2020-08-09,85,False
2020-08-16,91,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,86,False
2020-09-27,88,False
2020-10-04,93,False
2020-10-11,86,False
2020-10-18,93,False
2020-10-25,80,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,0,False
2020-12-13,84,False
2020-12-20,84,False
2020-12-27,90,False
2021-01-03,0,False
2021-01-10,0,False
2021-01-17,91,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,90,False
2021-02-14,0,False
2021-02-21,100,False
2021-02-28,95,False
2021-03-07,99,False
2021-03-14,0,False
2021-03-21,90,False
2021-03-28,0,False
2021-04-04,0,False
