date,Depression,isPartial
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,94,False
2020-04-26,100,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,80,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,70,False
2020-06-21,0,False
2020-06-28,71,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,0,False
2020-07-26,72,False
2020-08-02,0,False
2020-08-09,70,False
2020-08-16,76,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,79,False
2020-09-27,88,False
2020-10-04,82,False
2020-10-11,77,False
2020-10-18,84,False
2020-10-25,84,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,0,False
2020-12-13,77,False
2020-12-20,68,False
2020-12-27,63,False
2021-01-03,0,False
2021-01-10,0,False
2021-01-17,66,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,82,False
2021-02-14,0,False
2021-02-21,83,False
2021-02-28,81,False
2021-03-07,77,False
2021-03-14,0,False
2021-03-21,82,False
2021-03-28,0,False
2021-04-04,0,False
