date,depression,isPartial
2019-04-07,90,False
2019-04-14,90,False
2019-04-21,88,False
2019-04-28,95,False
2019-05-05,95,False
2019-05-12,89,False
2019-05-19,88,False
2019-05-26,88,False
2019-06-02,83,False
2019-06-09,81,False
2019-06-16,78,False
2019-06-23,77,False
2019-06-30,72,False
2019-07-07,80,False
2019-07-14,78,False
2019-07-21,78,False
2019-07-28,79,False
2019-08-04,80,False
2019-08-11,79,False
2019-08-18,82,False
2019-08-25,81,False
2019-09-01,81,False
2019-09-08,88,False
2019-09-15,92,False
2019-09-22,92,False
2019-09-29,91,False
2019-10-06,92,False
2019-10-13,97,False
2019-10-20,90,False
2019-10-27,89,False
2019-11-03,97,False
2019-11-10,92,False
2019-11-17,91,False
2019-11-24,84,False
2019-12-01,98,False
2019-12-08,91,False
2019-12-15,83,False
2019-12-22,69,False
2019-12-29,77,False
2020-01-05,85,False
2020-01-12,88,False
2020-01-19,88,False
2020-01-26,93,False
2020-02-02,94,False
2020-02-09,95,False
2020-02-16,99,False
2020-02-23,100,False
2020-03-01,96,False
2020-03-08,93,False
2020-03-15,91,False
2020-03-22,93,False
2020-03-29,92,False
2020-04-05,97,False
