date,anorexia,isPartial
2018-04-08,92,False
2018-04-15,96,False
2018-04-22,87,False
2018-04-29,89,False
2018-05-06,88,False
2018-05-13,93,False
2018-05-20,90,False
2018-05-27,84,False
2018-06-03,84,False
2018-06-10,86,False
2018-06-17,77,False
2018-06-24,71,False
2018-07-01,70,False
2018-07-08,75,False
2018-07-15,76,False
2018-07-22,73,False
2018-07-29,77,False
2018-08-05,72,False
2018-08-12,72,False
2018-08-19,73,False
2018-08-26,74,False
2018-09-02,82,False
2018-09-09,76,False
2018-09-16,88,False
2018-09-23,87,False
2018-09-30,86,False
2018-10-07,82,False
2018-10-14,83,False
2018-10-21,92,False
2018-10-28,88,False
2018-11-04,100,False
2018-11-11,98,False
2018-11-18,86,False
2018-11-25,95,False
2018-12-02,89,False
2018-12-09,83,False
2018-12-16,73,False
2018-12-23,60,False
2018-12-30,68,False
2019-01-06,79,False
2019-01-13,74,False
2019-01-20,76,False
2019-01-27,74,False
2019-02-03,80,False
2019-02-10,80,False
2019-02-17,82,False
2019-02-24,83,False
2019-03-03,82,False
2019-03-10,87,False
2019-03-17,88,False
2019-03-24,88,False
2019-03-31,91,False
