date,Anorexia,isPartial
2018-04-08,99,False
2018-04-15,96,False
2018-04-22,100,False
2018-04-29,96,False
2018-05-06,87,False
2018-05-13,81,False
2018-05-20,79,False
2018-05-27,67,False
2018-06-03,72,False
2018-06-10,81,False
2018-06-17,72,False
2018-06-24,68,False
2018-07-01,68,False
2018-07-08,75,False
2018-07-15,75,False
2018-07-22,76,False
2018-07-29,72,False
2018-08-05,64,False
2018-08-12,64,False
2018-08-19,62,False
2018-08-26,63,False
2018-09-02,70,False
2018-09-09,65,False
2018-09-16,77,False
2018-09-23,80,False
2018-09-30,79,False
2018-10-07,79,False
2018-10-14,87,False
2018-10-21,89,False
2018-10-28,93,False
2018-11-04,89,False
2018-11-11,94,False
2018-11-18,80,False
2018-11-25,97,False
2018-12-02,95,False
2018-12-09,91,False
2018-12-16,74,False
2018-12-23,58,False
2018-12-30,67,False
2019-01-06,79,False
2019-01-13,75,False
2019-01-20,73,False
2019-01-27,80,False
2019-02-03,85,False
2019-02-10,86,False
2019-02-17,89,False
2019-02-24,91,False
2019-03-03,87,False
2019-03-10,84,False
2019-03-17,88,False
2019-03-24,87,False
2019-03-31,90,False
