date,anxiety,isPartial
2018-04-08,89,False
2018-04-15,86,False
2018-04-22,86,False
2018-04-29,87,False
2018-05-06,83,False
2018-05-13,81,False
2018-05-20,82,False
2018-05-27,77,False
2018-06-03,82,False
2018-06-10,87,False
2018-06-17,87,False
2018-06-24,100,False
2018-07-01,88,False
2018-07-08,93,False
2018-07-15,89,False
2018-07-22,91,False
2018-07-29,99,False
2018-08-05,90,False
2018-08-12,93,False
2018-08-19,99,False
2018-08-26,91,False
2018-09-02,84,False
2018-09-09,95,False
2018-09-16,97,False
2018-09-23,98,False
2018-09-30,96,False
2018-10-07,91,False
2018-10-14,87,False
2018-10-21,88,False
2018-10-28,87,False
2018-11-04,96,False
2018-11-11,90,False
2018-11-18,74,False
2018-11-25,97,False
2018-12-02,96,False
2018-12-09,88,False
2018-12-16,83,False
2018-12-23,70,False
2018-12-30,80,False
2019-01-06,89,False
2019-01-13,86,False
2019-01-20,87,False
2019-01-27,87,False
2019-02-03,94,False
2019-02-10,91,False
2019-02-17,95,False
2019-02-24,96,False
2019-03-03,97,False
2019-03-10,87,False
2019-03-17,96,False
2019-03-24,97,False
2019-03-31,98,False
