date,anxiety,isPartial
2018-04-08,89,False
2018-04-15,91,False
2018-04-22,85,False
2018-04-29,82,False
2018-05-06,84,False
2018-05-13,82,False
2018-05-20,77,False
2018-05-27,82,False
2018-06-03,73,False
2018-06-10,83,False
2018-06-17,85,False
2018-06-24,85,False
2018-07-01,76,False
2018-07-08,82,False
2018-07-15,86,False
2018-07-22,92,False
2018-07-29,91,False
2018-08-05,86,False
2018-08-12,90,False
2018-08-19,81,False
2018-08-26,87,False
2018-09-02,79,False
2018-09-09,85,False
2018-09-16,94,False
2018-09-23,89,False
2018-09-30,87,False
2018-10-07,99,False
2018-10-14,85,False
2018-10-21,84,False
2018-10-28,86,False
2018-11-04,87,False
2018-11-11,89,False
2018-11-18,80,False
2018-11-25,91,False
2018-12-02,98,False
2018-12-09,82,False
2018-12-16,82,False
2018-12-23,76,False
2018-12-30,80,False
2019-01-06,92,False
2019-01-13,84,False
2019-01-20,89,False
2019-01-27,82,False
2019-02-03,100,False
2019-02-10,96,False
2019-02-17,99,False
2019-02-24,97,False
2019-03-03,85,False
2019-03-10,96,False
2019-03-17,90,False
2019-03-24,94,False
2019-03-31,97,False
