date,anxiety,isPartial
2018-04-08,81,False
2018-04-15,70,False
2018-04-22,78,False
2018-04-29,77,False
2018-05-06,91,False
2018-05-13,80,False
2018-05-20,78,False
2018-05-27,79,False
2018-06-03,82,False
2018-06-10,76,False
2018-06-17,68,False
2018-06-24,71,False
2018-07-01,81,False
2018-07-08,82,False
2018-07-15,82,False
2018-07-22,77,False
2018-07-29,81,False
2018-08-05,80,False
2018-08-12,81,False
2018-08-19,77,False
2018-08-26,79,False
2018-09-02,92,False
2018-09-09,93,False
2018-09-16,77,False
2018-09-23,82,False
2018-09-30,95,False
2018-10-07,88,False
2018-10-14,91,False
2018-10-21,97,False
2018-10-28,96,False
2018-11-04,93,False
2018-11-11,86,False
2018-11-18,75,False
2018-11-25,100,False
2018-12-02,84,False
2018-12-09,78,False
2018-12-16,91,False
2018-12-23,70,False
2018-12-30,85,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
