date,Anxiety,isPartial
2020-04-05,86,False
2020-04-12,81,False
2020-04-19,82,False
2020-04-26,85,False
2020-05-03,83,False
2020-05-10,85,False
2020-05-17,86,False
2020-05-24,84,False
2020-05-31,79,False
2020-06-07,86,False
2020-06-14,91,False
2020-06-21,90,False
2020-06-28,89,False
2020-07-05,95,False
2020-07-12,93,False
2020-07-19,92,False
2020-07-26,89,False
2020-08-02,89,False
2020-08-09,90,False
2020-08-16,92,False
2020-08-23,90,False
2020-08-30,93,False
2020-09-06,94,False
2020-09-13,95,False
2020-09-20,92,False
2020-09-27,90,False
2020-10-04,95,False
2020-10-11,92,False
2020-10-18,94,False
2020-10-25,93,False
2020-11-01,79,False
2020-11-08,90,False
2020-11-15,94,False
2020-11-22,82,False
2020-11-29,88,False
2020-12-06,94,False
2020-12-13,88,False
2020-12-20,78,False
2020-12-27,82,False
2021-01-03,96,False
2021-01-10,90,False
2021-01-17,91,False
2021-01-24,98,False
2021-01-31,98,False
2021-02-07,92,False
2021-02-14,92,False
2021-02-21,98,False
2021-02-28,99,False
2021-03-07,96,False
2021-03-14,91,False
2021-03-21,100,False
2021-03-28,90,False
2021-04-04,93,False
