date,Suicide,isPartial
2020-04-05,45,False
2020-04-12,41,False
2020-04-19,44,False
2020-04-26,59,False
2020-05-03,45,False
2020-05-10,46,False
2020-05-17,42,False
2020-05-24,45,False
2020-05-31,49,False
2020-06-07,43,False
2020-06-14,57,False
2020-06-21,46,False
2020-06-28,48,False
2020-07-05,46,False
2020-07-12,51,False
2020-07-19,44,False
2020-07-26,45,False
2020-08-02,48,False
2020-08-09,44,False
2020-08-16,47,False
2020-08-23,68,False
2020-08-30,52,False
2020-09-06,100,False
2020-09-13,49,False
2020-09-20,48,False
2020-09-27,46,False
2020-10-04,43,False
2020-10-11,44,False
2020-10-18,46,False
2020-10-25,43,False
2020-11-01,35,False
2020-11-08,38,False
2020-11-15,43,False
2020-11-22,37,False
2020-11-29,46,False
2020-12-06,42,False
2020-12-13,40,False
2020-12-20,39,False
2020-12-27,40,False
2021-01-03,39,False
2021-01-10,55,False
2021-01-17,41,False
2021-01-24,46,False
2021-01-31,47,False
2021-02-07,49,False
2021-02-14,42,False
2021-02-21,45,False
2021-02-28,42,False
2021-03-07,42,False
2021-03-14,42,False
2021-03-21,67,False
2021-03-28,63,False
2021-04-04,56,False
