date,covid,isPartial
2020-04-05,100,False
2020-04-12,92,False
2020-04-19,83,False
2020-04-26,85,False
2020-05-03,78,False
2020-05-10,76,False
2020-05-17,70,False
2020-05-24,66,False
2020-05-31,61,False
2020-06-07,61,False
2020-06-14,62,False
2020-06-21,69,False
2020-06-28,76,False
2020-07-05,76,False
2020-07-12,77,False
2020-07-19,72,False
2020-07-26,74,False
2020-08-02,72,False
2020-08-09,66,False
2020-08-16,65,False
2020-08-23,58,False
2020-08-30,57,False
2020-09-06,61,False
2020-09-13,62,False
2020-09-20,63,False
2020-09-27,65,False
2020-10-04,69,False
2020-10-11,70,False
2020-10-18,72,False
2020-10-25,84,False
2020-11-01,74,False
2020-11-08,88,False
2020-11-15,91,False
2020-11-22,78,False
2020-11-29,71,False
2020-12-06,78,False
2020-12-13,84,False
2020-12-20,85,False
2020-12-27,94,False
2021-01-03,94,False
2021-01-10,90,False
2021-01-17,90,False
2021-01-24,82,False
2021-01-31,77,False
2021-02-07,75,False
2021-02-14,70,False
2021-02-21,76,False
2021-02-28,81,False
2021-03-07,84,False
2021-03-14,88,False
2021-03-21,92,False
2021-03-28,98,False
2021-04-04,95,False
