date,Depression,isPartial
2020-04-05,86,False
2020-04-12,87,False
2020-04-19,85,False
2020-04-26,85,False
2020-05-03,83,False
2020-05-10,80,False
2020-05-17,80,False
2020-05-24,72,False
2020-05-31,71,False
2020-06-07,71,False
2020-06-14,100,False
2020-06-21,76,False
2020-06-28,72,False
2020-07-05,73,False
2020-07-12,71,False
2020-07-19,75,False
2020-07-26,71,False
2020-08-02,71,False
2020-08-09,70,False
2020-08-16,80,False
2020-08-23,73,False
2020-08-30,70,False
2020-09-06,76,False
2020-09-13,77,False
2020-09-20,81,False
2020-09-27,74,False
2020-10-04,75,False
2020-10-11,75,False
2020-10-18,73,False
2020-10-25,74,False
2020-11-01,73,False
2020-11-08,78,False
2020-11-15,79,False
2020-11-22,70,False
2020-11-29,76,False
2020-12-06,77,False
2020-12-13,68,False
2020-12-20,61,False
2020-12-27,66,False
2021-01-03,70,False
2021-01-10,70,False
2021-01-17,73,False
2021-01-24,75,False
2021-01-31,73,False
2021-02-07,72,False
2021-02-14,74,False
2021-02-21,76,False
2021-02-28,78,False
2021-03-07,75,False
2021-03-14,72,False
2021-03-21,74,False
2021-03-28,68,False
2021-04-04,69,False
