date,depression,isPartial
2018-04-08,75,False
2018-04-15,70,False
2018-04-22,81,False
2018-04-29,71,False
2018-05-06,79,False
2018-05-13,70,False
2018-05-20,67,False
2018-05-27,72,False
2018-06-03,100,False
2018-06-10,81,False
2018-06-17,71,False
2018-06-24,67,False
2018-07-01,61,False
2018-07-08,63,False
2018-07-15,63,False
2018-07-22,58,False
2018-07-29,51,False
2018-08-05,66,False
2018-08-12,57,False
2018-08-19,63,False
2018-08-26,49,False
2018-09-02,56,False
2018-09-09,72,False
2018-09-16,63,False
2018-09-23,64,False
2018-09-30,73,False
2018-10-07,74,False
2018-10-14,57,False
2018-10-21,73,False
2018-10-28,72,False
2018-11-04,76,False
2018-11-11,70,False
2018-11-18,67,False
2018-11-25,80,False
2018-12-02,67,False
2018-12-09,74,False
2018-12-16,72,False
2018-12-23,57,False
2018-12-30,61,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
