date,depression,isPartial
2018-04-08,85,False
2018-04-15,81,False
2018-04-22,86,False
2018-04-29,78,False
2018-05-06,69,False
2018-05-13,72,False
2018-05-20,76,False
2018-05-27,63,False
2018-06-03,71,False
2018-06-10,73,False
2018-06-17,63,False
2018-06-24,68,False
2018-07-01,56,False
2018-07-08,56,False
2018-07-15,63,False
2018-07-22,60,False
2018-07-29,60,False
2018-08-05,58,False
2018-08-12,60,False
2018-08-19,58,False
2018-08-26,63,False
2018-09-02,65,False
2018-09-09,70,False
2018-09-16,74,False
2018-09-23,73,False
2018-09-30,72,False
2018-10-07,77,False
2018-10-14,76,False
2018-10-21,77,False
2018-10-28,79,False
2018-11-04,81,False
2018-11-11,86,False
2018-11-18,70,False
2018-11-25,82,False
2018-12-02,88,False
2018-12-09,90,False
2018-12-16,78,False
2018-12-23,61,False
2018-12-30,71,False
2019-01-06,86,False
2019-01-13,81,False
2019-01-20,78,False
2019-01-27,73,False
2019-02-03,100,False
2019-02-10,88,False
2019-02-17,84,False
2019-02-24,90,False
2019-03-03,93,False
2019-03-10,87,False
2019-03-17,86,False
2019-03-24,78,False
2019-03-31,81,False
