date,bulimia,isPartial
2019-04-07,86,False
2019-04-14,70,False
2019-04-21,80,False
2019-04-28,80,False
2019-05-05,79,False
2019-05-12,79,False
2019-05-19,80,False
2019-05-26,83,False
2019-06-02,81,False
2019-06-09,74,False
2019-06-16,71,False
2019-06-23,61,False
2019-06-30,60,False
2019-07-07,55,False
2019-07-14,60,False
2019-07-21,61,False
2019-07-28,59,False
2019-08-04,62,False
2019-08-11,61,False
2019-08-18,63,False
2019-08-25,66,False
2019-09-01,71,False
2019-09-08,79,False
2019-09-15,81,False
2019-09-22,84,False
2019-09-29,78,False
2019-10-06,91,False
2019-10-13,90,False
2019-10-20,78,False
2019-10-27,99,False
2019-11-03,100,False
2019-11-10,83,False
2019-11-17,95,False
2019-11-24,77,False
2019-12-01,76,False
2019-12-08,72,False
2019-12-15,62,False
2019-12-22,46,False
2019-12-29,52,False
2020-01-05,63,False
2020-01-12,68,False
2020-01-19,69,False
2020-01-26,72,False
2020-02-02,71,False
2020-02-09,82,False
2020-02-16,76,False
2020-02-23,77,False
2020-03-01,98,False
2020-03-08,74,False
2020-03-15,69,False
2020-03-22,73,False
2020-03-29,86,False
2020-04-05,81,False
