date,Lack,isPartial
2020-04-05,94,False
2020-04-12,90,False
2020-04-19,93,False
2020-04-26,94,False
2020-05-03,100,False
2020-05-10,93,False
2020-05-17,91,False
2020-05-24,88,False
2020-05-31,85,False
2020-06-07,83,False
2020-06-14,84,False
2020-06-21,85,False
2020-06-28,82,False
2020-07-05,82,False
2020-07-12,80,False
2020-07-19,81,False
2020-07-26,78,False
2020-08-02,75,False
2020-08-09,75,False
2020-08-16,79,False
2020-08-23,83,False
2020-08-30,87,False
2020-09-06,89,False
2020-09-13,92,False
2020-09-20,97,False
2020-09-27,90,False
2020-10-04,90,False
2020-10-11,92,False
2020-10-18,88,False
2020-10-25,87,False
2020-11-01,83,False
2020-11-08,87,False
2020-11-15,92,False
2020-11-22,83,False
2020-11-29,88,False
2020-12-06,86,False
2020-12-13,78,False
2020-12-20,64,False
2020-12-27,64,False
2021-01-03,79,False
2021-01-10,77,False
2021-01-17,84,False
2021-01-24,89,False
2021-01-31,87,False
2021-02-07,83,False
2021-02-14,81,False
2021-02-21,89,False
2021-02-28,87,False
2021-03-07,85,False
2021-03-14,88,False
2021-03-21,85,False
2021-03-28,83,False
2021-04-04,87,False
