date,suicide,isPartial
2020-04-05,45,False
2020-04-12,41,False
2020-04-19,42,False
2020-04-26,51,False
2020-05-03,49,False
2020-05-10,43,False
2020-05-17,42,False
2020-05-24,43,False
2020-05-31,45,False
2020-06-07,43,False
2020-06-14,98,False
2020-06-21,57,False
2020-06-28,50,False
2020-07-05,47,False
2020-07-12,48,False
2020-07-19,44,False
2020-07-26,45,False
2020-08-02,48,False
2020-08-09,44,False
2020-08-16,46,False
2020-08-23,63,False
2020-08-30,49,False
2020-09-06,100,False
2020-09-13,49,False
2020-09-20,44,False
2020-09-27,46,False
2020-10-04,41,False
2020-10-11,43,False
2020-10-18,41,False
2020-10-25,40,False
2020-11-01,36,False
2020-11-08,38,False
2020-11-15,41,False
2020-11-22,38,False
2020-11-29,40,False
2020-12-06,39,False
2020-12-13,38,False
2020-12-20,35,False
2020-12-27,41,False
2021-01-03,40,False
2021-01-10,45,False
2021-01-17,40,False
2021-01-24,43,False
2021-01-31,41,False
2021-02-07,43,False
2021-02-14,39,False
2021-02-21,42,False
2021-02-28,40,False
2021-03-07,38,False
2021-03-14,39,False
2021-03-21,62,False
2021-03-28,59,False
2021-04-04,48,False
