date,Hypochondriasis,isPartial
2020-04-05,88,False
2020-04-12,71,False
2020-04-19,78,False
2020-04-26,92,False
2020-05-03,81,False
2020-05-10,58,False
2020-05-17,64,False
2020-05-24,51,False
2020-05-31,39,False
2020-06-07,61,False
2020-06-14,80,False
2020-06-21,47,False
2020-06-28,69,False
2020-07-05,42,False
2020-07-12,26,False
2020-07-19,44,False
2020-07-26,55,False
2020-08-02,63,False
2020-08-09,64,False
2020-08-16,56,False
2020-08-23,26,False
2020-08-30,58,False
2020-09-06,70,False
2020-09-13,36,False
2020-09-20,82,False
2020-09-27,48,False
2020-10-04,62,False
2020-10-11,45,False
2020-10-18,45,False
2020-10-25,79,False
2020-11-01,33,False
2020-11-08,51,False
2020-11-15,69,False
2020-11-22,48,False
2020-11-29,100,False
2020-12-06,79,False
2020-12-13,70,False
2020-12-20,31,False
2020-12-27,21,False
2021-01-03,24,False
2021-01-10,33,False
2021-01-17,50,False
2021-01-24,56,False
2021-01-31,54,False
2021-02-07,48,False
2021-02-14,33,False
2021-02-21,53,False
2021-02-28,63,False
2021-03-07,56,False
2021-03-14,61,False
2021-03-21,58,False
2021-03-28,45,False
2021-04-04,71,False
