date,Covid,isPartial
2020-04-05,80,False
2020-04-12,64,False
2020-04-19,59,False
2020-04-26,54,False
2020-05-03,52,False
2020-05-10,52,False
2020-05-17,48,False
2020-05-24,45,False
2020-05-31,36,False
2020-06-07,42,False
2020-06-14,47,False
2020-06-21,65,False
2020-06-28,74,False
2020-07-05,76,False
2020-07-12,81,False
2020-07-19,69,False
2020-07-26,67,False
2020-08-02,60,False
2020-08-09,52,False
2020-08-16,51,False
2020-08-23,44,False
2020-08-30,46,False
2020-09-06,41,False
2020-09-13,41,False
2020-09-20,39,False
2020-09-27,51,False
2020-10-04,56,False
2020-10-11,46,False
2020-10-18,52,False
2020-10-25,58,False
2020-11-01,46,False
2020-11-08,78,False
2020-11-15,100,False
2020-11-22,73,False
2020-11-29,75,False
2020-12-06,80,False
2020-12-13,81,False
2020-12-20,79,False
2020-12-27,84,False
2021-01-03,87,False
2021-01-10,86,False
2021-01-17,82,False
2021-01-24,80,False
2021-01-31,73,False
2021-02-07,71,False
2021-02-14,55,False
2021-02-21,64,False
2021-02-28,78,False
2021-03-07,82,False
2021-03-14,72,False
2021-03-21,69,False
2021-03-28,72,False
2021-04-04,72,False
