date,covid,isPartial
2020-04-05,100,False
2020-04-12,92,False
2020-04-19,84,False
2020-04-26,86,False
2020-05-03,79,False
2020-05-10,81,False
2020-05-17,72,False
2020-05-24,66,False
2020-05-31,61,False
2020-06-07,60,False
2020-06-14,62,False
2020-06-21,68,False
2020-06-28,74,False
2020-07-05,77,False
2020-07-12,76,False
2020-07-19,74,False
2020-07-26,79,False
2020-08-02,73,False
2020-08-09,65,False
2020-08-16,63,False
2020-08-23,63,False
2020-08-30,59,False
2020-09-06,64,False
2020-09-13,63,False
2020-09-20,63,False
2020-09-27,68,False
2020-10-04,70,False
2020-10-11,71,False
2020-10-18,72,False
2020-10-25,82,False
2020-11-01,73,False
2020-11-08,84,False
2020-11-15,89,False
2020-11-22,78,False
2020-11-29,73,False
2020-12-06,79,False
2020-12-13,85,False
2020-12-20,88,False
2020-12-27,89,False
2021-01-03,98,False
2021-01-10,93,False
2021-01-17,89,False
2021-01-24,84,False
2021-01-31,78,False
2021-02-07,74,False
2021-02-14,69,False
2021-02-21,78,False
2021-02-28,77,False
2021-03-07,84,False
2021-03-14,86,False
2021-03-21,91,False
2021-03-28,97,False
2021-04-04,93,False
