date,Anorexia,isPartial
2020-04-05,83,False
2020-04-12,85,False
2020-04-19,86,False
2020-04-26,91,False
2020-05-03,84,False
2020-05-10,88,False
2020-05-17,66,False
2020-05-24,57,False
2020-05-31,79,False
2020-06-07,93,False
2020-06-14,67,False
2020-06-21,78,False
2020-06-28,73,False
2020-07-05,69,False
2020-07-12,63,False
2020-07-19,70,False
2020-07-26,61,False
2020-08-02,71,False
2020-08-09,62,False
2020-08-16,50,False
2020-08-23,58,False
2020-08-30,73,False
2020-09-06,56,False
2020-09-13,68,False
2020-09-20,61,False
2020-09-27,54,False
2020-10-04,70,False
2020-10-11,80,False
2020-10-18,86,False
2020-10-25,72,False
2020-11-01,67,False
2020-11-08,72,False
2020-11-15,82,False
2020-11-22,85,False
2020-11-29,81,False
2020-12-06,74,False
2020-12-13,100,False
2020-12-20,80,False
2020-12-27,65,False
2021-01-03,64,False
2021-01-10,66,False
2021-01-17,63,False
2021-01-24,65,False
2021-01-31,70,False
2021-02-07,68,False
2021-02-14,64,False
2021-02-21,84,False
2021-02-28,62,False
2021-03-07,86,False
2021-03-14,76,False
2021-03-21,56,False
2021-03-28,75,False
2021-04-04,87,False
